racer_id,st_std_dev,nat_win_rate,RacerID,nige_count,makuri_count,sashi_count
3435,0.06866493664760354,2.97,3435.0,776.0,753.0,293.0
3436,0.07082180234744545,2.57,3436.0,797.0,490.0,329.0
3438,0.09300518735131216,1.29,0.0,0.0,0.0,0.0
3439,0.0582438967640668,2.51,3439.0,727.0,629.0,354.0
3440,0.07520034018524216,2.37,0.0,0.0,0.0,0.0
3441,0.07666070826825416,1.54,3441.0,486.0,456.0,175.0
3442,0.0641668605907156,1.78,3442.0,572.0,321.0,272.0
3443,0.0703550620224752,2.26,3443.0,658.0,577.0,386.0
3444,0.07678054399862745,1.08,3444.0,171.0,449.0,72.0
3445,0.08011865875915927,1.63,3445.0,347.0,456.0,133.0
3446,0.08937019277456301,0.41,3446.0,39.0,62.0,37.0
3447,0.09699122653535035,0.51,0.0,0.0,0.0,0.0
3448,0.0797922311847338,1.31,3448.0,302.0,396.0,184.0
3452,0.06970085894823967,2.66,3452.0,589.0,619.0,240.0
3453,0.08527936384759804,0.91,0.0,0.0,0.0,0.0
3454,0.07570836854989223,1.48,3454.0,434.0,413.0,195.0
3455,0.08015665672387408,1.39,3455.0,306.0,398.0,205.0
3456,0.07653147881641316,0.96,3456.0,150.0,237.0,104.0
3457,0.09354831226741218,0.92,0.0,0.0,0.0,0.0
3458,0.07528258483464938,1.91,3458.0,530.0,392.0,255.0
3459,0.08563506195882228,1.0,3459.0,191.0,274.0,119.0
3460,0.07841046175698728,1.4,3460.0,362.0,406.0,136.0
3461,0.07776796239135866,1.15,3461.0,326.0,352.0,203.0
3462,0.07270101224429176,2.14,3462.0,552.0,522.0,332.0
3463,0.07683797762965981,1.74,3463.0,297.0,552.0,202.0
3465,0.09155517857529882,0.56,3465.0,83.0,133.0,44.0
3466,0.08819852870138208,0.81,0.0,0.0,0.0,0.0
3467,0.07250398499630242,1.25,3467.0,270.0,300.0,176.0
3468,0.07158593958042682,1.65,0.0,0.0,0.0,0.0
3469,0.09090156141897028,0.6,3469.0,64.0,153.0,42.0
3470,0.07086598553230866,1.99,3470.0,376.0,430.0,148.0
3471,0.08122069310459393,1.07,3471.0,236.0,273.0,164.0
3472,0.07838903443661256,0.69,3472.0,88.0,151.0,73.0
3473,0.06541728897012189,3.15,3473.0,1005.0,349.0,592.0
3474,0.08585303842768027,1.33,3474.0,214.0,401.0,87.0
3475,0.0735368426176012,2.28,3475.0,679.0,633.0,247.0
3476,0.09461034403611471,0.75,3476.0,98.0,175.0,83.0
3477,0.0713998145731491,1.15,3477.0,292.0,382.0,162.0
3478,0.07215864484333927,1.82,3478.0,479.0,437.0,234.0
3479,0.09358307466752427,1.43,0.0,0.0,0.0,0.0
3480,0.07754389282773963,0.52,3480.0,95.0,100.0,67.0
3481,0.08619906391699853,1.62,0.0,0.0,0.0,0.0
3482,0.06616783780918838,1.23,3482.0,228.0,549.0,147.0
3483,0.09647876145393683,0.61,3483.0,52.0,111.0,88.0
3484,0.06710388325179552,2.86,3484.0,872.0,579.0,349.0
3485,0.07706250707327789,1.85,3485.0,382.0,403.0,186.0
3486,0.09960966192264857,1.27,3486.0,179.0,195.0,138.0
3487,0.08815838689158474,0.47,0.0,0.0,0.0,0.0
3488,0.06378640308878011,1.66,3488.0,322.0,469.0,184.0
3489,0.060680102010236714,2.72,3489.0,1094.0,451.0,448.0
3491,0.08550901510559117,0.77,3491.0,160.0,196.0,84.0
3492,0.09514824401616984,0.51,3492.0,46.0,89.0,42.0
3493,0.09105358081310483,0.85,3493.0,118.0,147.0,74.0
3494,0.07857981083364372,0.35,0.0,0.0,0.0,0.0
3495,0.0940631992869988,1.24,0.0,0.0,0.0,0.0
3496,0.08040354105912274,0.91,3496.0,99.0,213.0,56.0
3497,0.06407478926142875,2.41,3497.0,749.0,484.0,302.0
3498,0.08202300279636673,1.26,3498.0,160.0,350.0,164.0
3499,0.05676739267349652,2.94,3499.0,1110.0,678.0,309.0
3501,0.06676907353609707,2.11,3501.0,596.0,645.0,185.0
3502,0.0681074796626662,2.47,3502.0,756.0,569.0,344.0
3503,0.0756313925253528,0.79,3503.0,114.0,276.0,51.0
3504,0.06724266855604413,1.58,0.0,0.0,0.0,0.0
3505,0.06563482779405984,2.25,3505.0,531.0,613.0,321.0
3506,0.09119340787084351,0.53,3506.0,87.0,90.0,57.0
3507,0.07697773570443243,0.97,3507.0,200.0,192.0,119.0
3508,0.07210396982481873,1.43,3508.0,379.0,388.0,236.0
3509,0.07254873992767218,1.31,3509.0,224.0,370.0,77.0
3513,0.09738722405079121,1.43,0.0,0.0,0.0,0.0
3514,0.06250451299121698,2.97,3514.0,923.0,956.0,284.0
3516,0.07575465510268518,1.38,3516.0,274.0,350.0,173.0
3517,0.07590343436448257,2.72,3517.0,780.0,567.0,248.0
3518,0.08527225885388443,1.42,3518.0,160.0,325.0,120.0
3519,0.0739377557243843,1.47,3519.0,371.0,416.0,219.0
3520,0.09271258297501021,0.7,0.0,0.0,0.0,0.0
3521,0.09532878937391721,0.44,3521.0,38.0,118.0,35.0
3522,0.07526954399209378,2.44,3522.0,484.0,594.0,221.0
3523,0.07990981630835206,1.45,3523.0,355.0,316.0,161.0
3524,0.08525594845126752,0.94,0.0,0.0,0.0,0.0
3525,0.10957742338968489,1.03,0.0,0.0,0.0,0.0
3527,0.07794787257724614,1.95,3527.0,661.0,328.0,246.0
