RacerID,Course,RacesRun,QuinellaRate,FirstPlaceRate,Nige,Makuri
2912,6,540,11.6,2.9,0,3
2914,1,997,66.5,41.0,368,0
2914,2,960,47.8,23.6,1,97
2914,3,920,43.7,20.8,0,90
2914,4,790,35.8,15.1,0,49
2914,5,609,25.9,10.0,0,7
2914,6,289,14.5,3.4,0,2
2930,1,1474,67.5,45.9,605,0
2930,2,1214,45.3,21.0,0,75
2930,3,1165,36.8,17.1,0,61
2930,4,801,27.3,10.6,0,29
2930,5,422,15.6,4.0,0,4
2930,6,199,13.0,1.0,0,0
2935,1,710,36.2,17.4,115,0
2935,2,810,25.1,9.2,0,37
2935,3,735,19.3,7.3,0,31
2935,4,780,21.9,10.5,0,47
2935,5,853,15.3,5.6,0,25
2935,6,601,6.1,1.1,0,1
2941,1,498,34.3,14.6,61,0
2941,2,558,23.8,8.7,0,12
2941,3,641,25.7,11.3,0,27
2941,4,700,30.8,14.4,0,49
2941,5,1050,25.8,9.7,0,32
2941,6,1146,17.0,4.5,0,18
2942,1,1103,70.7,46.9,464,0
2942,2,931,54.7,27.0,0,104
2942,3,989,44.3,23.3,0,122
2942,4,920,45.6,25.1,0,134
2942,5,689,32.8,16.4,0,52
2942,6,530,20.0,7.1,0,20
2958,1,940,61.0,41.4,366,0
2958,2,1258,45.1,20.6,0,59
2958,3,1152,30.9,14.0,0,46
2958,4,893,31.9,14.1,0,41
2958,5,624,22.1,7.8,0,6
2958,6,353,9.9,1.9,0,0
2969,1,602,41.0,21.7,113,0
2969,2,650,33.6,14.4,0,9
2969,3,653,25.5,11.6,0,17
2969,4,597,25.1,10.7,0,27
2969,5,613,20.3,8.4,0,15
2969,6,580,11.5,2.7,0,3
2974,1,874,66.9,46.1,370,0
2974,2,856,46.7,22.2,0,63
2974,3,866,41.6,22.7,0,91
2974,4,871,37.0,19.6,0,79
2974,5,612,22.5,9.8,0,23
2974,6,327,11.0,2.7,0,3
2983,1,1768,45.4,26.3,415,0
2983,2,1157,33.0,11.5,0,64
2983,3,749,25.7,11.0,0,48
2983,4,337,27.3,13.0,0,31
2983,5,96,8.3,3.1,0,2
2983,6,75,6.6,1.3,0,0
2992,1,1239,80.7,62.8,700,0
2992,2,935,59.5,33.5,0,155
2992,3,909,55.8,29.9,0,132
2992,4,850,43.8,21.2,0,90
2992,5,580,29.8,9.6,0,25
2992,6,305,13.4,4.5,0,3
2994,1,584,42.8,23.1,121,0
2994,2,645,27.9,10.7,0,19
2994,3,812,24.8,9.9,0,33
2994,4,649,20.9,7.4,0,11
2994,5,500,14.8,3.8,0,2
2994,6,219,5.9,2.2,0,0
2995,1,524,31.6,12.0,54,0
2995,2,593,26.9,7.0,0,14
2995,3,619,21.6,8.2,0,22
2995,4,495,20.6,7.6,0,14
2995,5,461,10.2,1.9,0,4
2995,6,376,6.6,1.0,0,0
3005,1,817,55.6,27.9,203,0
3005,2,980,42.5,19.9,0,65
3005,3,987,35.9,15.2,0,66
3005,4,806,35.2,14.5,0,57
3005,5,710,25.3,9.3,0,19
3005,6,353,13.8,3.1,0,3
3006,1,866,49.3,29.2,227,1
3006,2,1093,31.3,14.2,0,79
3006,3,1106,29.2,13.0,0,81
3006,4,871,22.6,12.0,0,62
3006,5,612,13.2,5.5,0,19
3006,6,322,5.9,1.8,0,1
3010,1,2146,72.3,55.5,1123,0
3010,2,1579,43.0,20.8,0,165
3010,3,479,32.9,15.4,0,34
3010,4,145,22.7,11.7,0,9
3010,5,56,26.7,5.3,0,1
3010,6,53,18.8,1.8,0,0
3020,1,1100,50.0,32.0,331,0
3020,2,1269,37.6,16.6,0,100
3020,3,1071,32.4,12.8,0,79
3020,4,977,30.5,12.7,0,81
3020,5,632,26.1,8.2,0,21
3020,6,287,16.3,3.8,0,3
3022,1,1441,74.8,51.7,696,2
3022,2,1369,58.0,24.6,0,83
3022,3,1301,44.9,18.9,0,89
3022,4,1318,41.2,16.3,0,72
